geoid,Zip_Code,Median_Income
86000US13312,13312,50625
86000US13313,13313,37188
86000US13314,13314,50469
86000US13315,13315,60735
86000US13316,13316,47193
86000US13317,13317,51272
86000US13318,13318,69091
86000US13319,13319,44619
86000US13320,13320,59297
86000US13321,13321,51083
86000US13322,13322,58125
86000US13323,13323,66172
86000US13324,13324,52917
86000US13325,13325,53250
86000US13326,13326,60966
86000US13327,13327,55573
86000US13328,13328,76591
86000US13329,13329,46190
86000US13331,13331,59167
86000US13332,13332,51458
86000US13334,13334,53224
86000US13335,13335,58000
86000US13337,13337,81591
86000US13338,13338,44904
86000US13339,13339,49071
86000US13340,13340,58065
86000US13341,13341,115735
86000US13342,13342,59107
86000US13343,13343,59167
86000US13346,13346,67045
86000US13348,13348,61133
86000US13350,13350,48471
86000US13354,13354,74496
86000US13355,13355,65956
86000US13357,13357,49832
86000US13360,13360,47500
86000US13361,13361,54219
86000US13363,13363,72738
86000US13364,13364,31563
86000US13365,13365,51520
86000US13367,13367,53689
86000US13368,13368,46765
86000US13402,13402,60870
86000US13403,13403,81344
86000US13404,13404,42750
86000US13406,13406,54375
86000US13407,13407,51336
86000US13408,13408,53932
86000US13409,13409,52216
86000US13410,13410,70938
86000US13411,13411,49556
86000US13413,13413,72576
86000US13415,13415,48750
86000US13416,13416,51585
86000US13417,13417,35720
86000US13418,13418,63438
86000US13420,13420,54787
86000US13421,13421,53179
86000US13424,13424,58367
86000US13425,13425,48875
86000US13428,13428,40662
86000US13431,13431,59792
86000US13433,13433,48935
86000US13435,13435,67778
86000US13436,13436,55625
86000US13437,13437,44688
86000US13438,13438,55761
86000US13439,13439,49832
86000US13440,13440,53067
86000US13441,13441,48333
86000US13450,13450,51328
86000US13452,13452,41042
86000US13454,13454,40400
86000US13456,13456,69528
86000US13459,13459,55346
86000US13460,13460,47143
86000US13461,13461,63204
86000US13464,13464,41532
86000US13468,13468,60625
86000US13469,13469,81201
86000US13470,13470,38750
86000US13471,13471,53158
86000US13473,13473,60313
86000US13476,13476,67083
86000US13477,13477,45000
86000US13478,13478,62944
86000US13480,13480,56033
86000US13483,13483,80000
86000US13484,13484,98703
86000US13485,13485,50050
86000US13486,13486,51250
86000US13488,13488,51250
86000US13489,13489,51944
86000US13490,13490,64592
86000US13491,13491,57557
86000US13492,13492,62632
86000US13493,13493,51055
86000US13494,13494,61458
86000US13495,13495,55643
86000US13501,13501,36079
86000US13502,13502,41333
86000US13601,13601,46683
86000US13602,13602,45156
86000US13603,13603,45272
86000US13605,13605,52212
86000US13606,13606,67787
86000US13607,13607,49048
86000US13608,13608,47065
86000US13612,13612,65636
86000US13613,13613,50652
86000US13615,13615,61389
86000US13616,13616,53021
86000US13617,13617,60016
86000US13618,13618,52941
86000US13619,13619,53566
86000US13620,13620,39235
86000US13621,13621,54500
86000US13622,13622,66736
86000US13624,13624,74505
86000US13625,13625,56500
86000US13626,13626,50583
86000US13628,13628,47500
86000US13630,13630,45500
86000US13633,13633,72614
86000US13634,13634,63605
